name,category,price,unit,description,image,veg,bestseller,stock,prepTime
Kurkure Veg Momos,Momos,160,8 pcs,Crunchy bread-crumb-coated veg momos,https://images.unsplash.com/photo-1496116218417-1a781b1c416c?w=400,yes,yes,in stock,15 min
Kurkure Paneer Momos,Momos,170,8 pcs,Crunchy bread-crumb-coated paneer momos,https://images.unsplash.com/photo-1496116218417-1a781b1c416c?w=400,yes,no,in stock,15 min
Kurkure Chicken Momos,Momos,180,8 pcs,Crunchy bread-crumb-coated chicken momos,https://images.unsplash.com/photo-1496116218417-1a781b1c416c?w=400,no,yes,in stock,15 min
Schezwan Veg Momos,Momos,160,8 pcs,Spicy schezwan-tossed veg momos,https://images.unsplash.com/photo-1496116218417-1a781b1c416c?w=400,yes,no,in stock,12 min
Schezwan Paneer Momos,Momos,170,8 pcs,Spicy schezwan-tossed paneer momos,https://images.unsplash.com/photo-1496116218417-1a781b1c416c?w=400,yes,no,in stock,12 min
Schezwan Chicken Momos,Momos,180,8 pcs,Spicy schezwan-tossed chicken momos,https://images.unsplash.com/photo-1496116218417-1a781b1c416c?w=400,no,yes,in stock,12 min
Peri-Peri Veg Momos,Momos,160,8 pcs,Tangy peri-peri veg momos,https://images.unsplash.com/photo-1496116218417-1a781b1c416c?w=400,yes,no,in stock,12 min
Peri-Peri Paneer Momos,Momos,170,8 pcs,Tangy peri-peri paneer momos,https://images.unsplash.com/photo-1496116218417-1a781b1c416c?w=400,yes,no,in stock,12 min
Peri-Peri Chicken Momos,Momos,180,8 pcs,Tangy peri-peri chicken momos,https://images.unsplash.com/photo-1496116218417-1a781b1c416c?w=400,no,no,in stock,12 min
White Sauce Veg Momos,Momos,160,8 pcs,Creamy white-sauce veg momos,https://images.unsplash.com/photo-1496116218417-1a781b1c416c?w=400,yes,no,in stock,12 min
White Sauce Paneer Momos,Momos,170,8 pcs,Creamy white-sauce paneer momos,https://images.unsplash.com/photo-1496116218417-1a781b1c416c?w=400,yes,no,in stock,12 min
White Sauce Chicken Momos,Momos,180,8 pcs,Creamy white-sauce chicken momos,https://images.unsplash.com/photo-1496116218417-1a781b1c416c?w=400,no,no,in stock,12 min
Garlic Veg Momos,Momos,160,8 pcs,Garlic-butter tossed veg momos,https://images.unsplash.com/photo-1496116218417-1a781b1c416c?w=400,yes,no,in stock,12 min
Garlic Paneer Momos,Momos,170,8 pcs,Garlic-butter tossed paneer momos,https://images.unsplash.com/photo-1496116218417-1a781b1c416c?w=400,yes,no,in stock,12 min
Garlic Chicken Momos,Momos,180,8 pcs,Garlic-butter tossed chicken momos,https://images.unsplash.com/photo-1496116218417-1a781b1c416c?w=400,no,no,in stock,12 min
Gravy Veg Momos,Momos,180,8 pcs,Veg momos in spicy Indo-Chinese gravy,https://images.unsplash.com/photo-1496116218417-1a781b1c416c?w=400,yes,no,in stock,15 min
Gravy Paneer Momos,Momos,190,8 pcs,Paneer momos in spicy Indo-Chinese gravy,https://images.unsplash.com/photo-1496116218417-1a781b1c416c?w=400,yes,no,in stock,15 min
Gravy Chicken Momos,Momos,200,8 pcs,Chicken momos in spicy Indo-Chinese gravy,https://images.unsplash.com/photo-1496116218417-1a781b1c416c?w=400,no,yes,in stock,15 min
Afgani Veg Momos,Momos,180,8 pcs,Veg momos in creamy afgani sauce,https://images.unsplash.com/photo-1496116218417-1a781b1c416c?w=400,yes,no,in stock,15 min
Afgani Paneer Momos,Momos,190,8 pcs,Paneer momos in creamy afgani sauce,https://images.unsplash.com/photo-1496116218417-1a781b1c416c?w=400,yes,no,in stock,15 min
Afgani Chicken Momos,Momos,200,8 pcs,Chicken momos in creamy afgani sauce,https://images.unsplash.com/photo-1496116218417-1a781b1c416c?w=400,no,no,in stock,15 min
Pan Fried Veg Momos,Momos,180,8 pcs,Pan-seared veg momos with crispy base,https://images.unsplash.com/photo-1496116218417-1a781b1c416c?w=400,yes,no,in stock,15 min
Pan Fried Paneer Momos,Momos,190,8 pcs,Pan-seared paneer momos with crispy base,https://images.unsplash.com/photo-1496116218417-1a781b1c416c?w=400,yes,no,in stock,15 min
Pan Fried Chicken Momos,Momos,200,8 pcs,Pan-seared chicken momos with crispy base,https://images.unsplash.com/photo-1496116218417-1a781b1c416c?w=400,no,no,in stock,15 min
Aloo Roll,Rolls,80,1 roll,Spiced potato wrap in soft paratha,https://images.unsplash.com/photo-1626700051175-6818013e1d4f?w=400,yes,no,in stock,8 min
Veggie Roll,Rolls,100,1 roll,Mixed veggie wrap with chutneys,https://images.unsplash.com/photo-1626700051175-6818013e1d4f?w=400,yes,no,in stock,8 min
Veg Manchurian Roll,Rolls,120,1 roll,Manchurian-stuffed roll with sauces,https://images.unsplash.com/photo-1626700051175-6818013e1d4f?w=400,yes,no,in stock,10 min
Paneer Roll,Rolls,120,1 roll,Paneer wrap in soft paratha,https://images.unsplash.com/photo-1626700051175-6818013e1d4f?w=400,yes,yes,in stock,10 min
Chilli Paneer Roll,Rolls,130,1 roll,Spicy chilli paneer wrap,https://images.unsplash.com/photo-1626700051175-6818013e1d4f?w=400,yes,no,in stock,10 min
Afgani Paneer Roll,Rolls,150,1 roll,Creamy afgani paneer wrap,https://images.unsplash.com/photo-1626700051175-6818013e1d4f?w=400,yes,no,in stock,10 min
Schezwan Paneer Roll,Rolls,150,1 roll,Spicy schezwan paneer wrap,https://images.unsplash.com/photo-1626700051175-6818013e1d4f?w=400,yes,no,in stock,10 min
Keema Paneer Roll,Rolls,160,1 roll,Keema-paneer combo wrap,https://images.unsplash.com/photo-1626700051175-6818013e1d4f?w=400,no,no,in stock,12 min
Chicken Roll,Rolls,150,1 roll,Tender chicken wrap with chutneys,https://images.unsplash.com/photo-1626700051175-6818013e1d4f?w=400,no,yes,in stock,10 min
Chilli Chicken Roll,Rolls,160,1 roll,Spicy chilli chicken wrap,https://images.unsplash.com/photo-1626700051175-6818013e1d4f?w=400,no,yes,in stock,10 min
Afgani Chicken Roll,Rolls,170,1 roll,Creamy afgani chicken wrap,https://images.unsplash.com/photo-1626700051175-6818013e1d4f?w=400,no,no,in stock,10 min
Schezwan Chicken Roll,Rolls,170,1 roll,Spicy schezwan chicken wrap,https://images.unsplash.com/photo-1626700051175-6818013e1d4f?w=400,no,no,in stock,10 min
Chilli Potato,Chinese Snacks,120,1 plate,Crispy potato in spicy Indo-Chinese sauce,https://images.unsplash.com/photo-1606755456206-b25206cde27e?w=400,yes,yes,in stock,12 min
Honey Chilli Potato,Chinese Snacks,140,1 plate,Sweet & spicy honey-glazed crispy potato,https://images.unsplash.com/photo-1606755456206-b25206cde27e?w=400,yes,yes,in stock,12 min
Chilli Paneer,Chinese Snacks,160,1 plate,Boneless paneer in spicy Indo-Chinese sauce,https://images.unsplash.com/photo-1626777553635-e1f3ed8e2b07?w=400,yes,yes,in stock,15 min
Veg Manchurian,Chinese Snacks,150,1 plate,Crispy veg balls in tangy manchurian gravy,https://images.unsplash.com/photo-1626777553635-e1f3ed8e2b07?w=400,yes,no,in stock,15 min
Shangai Paneer,Chinese Snacks,170,1 plate,Wok-tossed paneer in shangai sauce,https://images.unsplash.com/photo-1626777553635-e1f3ed8e2b07?w=400,yes,no,in stock,15 min
Crispy Corn,Chinese Snacks,130,1 plate,Crisp-fried corn tossed with bell peppers,https://images.unsplash.com/photo-1606755456206-b25206cde27e?w=400,yes,no,in stock,10 min
Chilli Mushroom,Chinese Snacks,160,1 plate,Mushrooms in spicy chilli sauce,https://images.unsplash.com/photo-1626777553635-e1f3ed8e2b07?w=400,yes,no,in stock,15 min
Chicken Manchurian,Chinese Snacks,180,1 plate,Boneless chicken in tangy manchurian gravy,https://images.unsplash.com/photo-1626777553635-e1f3ed8e2b07?w=400,no,yes,in stock,18 min
Chicken Lollipop,Chinese Snacks,200,1 plate,Drumette lollipops in spicy red sauce,https://images.unsplash.com/photo-1626777553635-e1f3ed8e2b07?w=400,no,yes,in stock,18 min
Lemon Chicken,Chinese Snacks,180,1 plate,Tangy lemon-glazed chicken,https://images.unsplash.com/photo-1626777553635-e1f3ed8e2b07?w=400,no,no,in stock,18 min
Garlic Chicken,Chinese Snacks,180,1 plate,Garlic-tossed boneless chicken,https://images.unsplash.com/photo-1626777553635-e1f3ed8e2b07?w=400,no,no,in stock,18 min
Chilli Chicken,Chinese Snacks,180,1 plate,Boneless chicken in spicy Indo-Chinese sauce,https://images.unsplash.com/photo-1626777553635-e1f3ed8e2b07?w=400,no,yes,in stock,18 min
Schezwan Chicken,Chinese Snacks,180,1 plate,Spicy schezwan boneless chicken,https://images.unsplash.com/photo-1626777553635-e1f3ed8e2b07?w=400,no,no,in stock,18 min
Chicken 65,Chinese Snacks,180,1 plate,Hyderabadi-style spicy fried chicken,https://images.unsplash.com/photo-1626777553635-e1f3ed8e2b07?w=400,no,yes,in stock,18 min
Shangai Chicken,Chinese Snacks,180,1 plate,Wok-tossed chicken in shangai sauce,https://images.unsplash.com/photo-1626777553635-e1f3ed8e2b07?w=400,no,no,in stock,18 min
Drums Of Heaven,Chinese Snacks,200,1 plate,Crispy chicken drumettes in red chilli glaze,https://images.unsplash.com/photo-1626777553635-e1f3ed8e2b07?w=400,no,yes,in stock,18 min
Haka Veg Noodles,Noodles,120,1 plate,Classic Hakka-style stir-fried veg noodles,https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400,yes,yes,in stock,12 min
Haka Egg Noodles,Noodles,140,1 plate,Hakka noodles tossed with scrambled egg,https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400,no,no,in stock,12 min
Haka Chicken Noodles,Noodles,160,1 plate,Hakka noodles with shredded chicken,https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400,no,yes,in stock,15 min
Chilli Garlic Veg Noodles,Noodles,130,1 plate,Spicy garlic-tossed veg noodles,https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400,yes,no,in stock,12 min
Chilli Garlic Egg Noodles,Noodles,150,1 plate,Spicy garlic noodles with egg,https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400,no,no,in stock,12 min
Chilli Garlic Chicken Noodles,Noodles,170,1 plate,Spicy garlic noodles with chicken,https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400,no,no,in stock,15 min
Schezwan Veg Noodles,Noodles,140,1 plate,Spicy schezwan veg noodles,https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400,yes,yes,in stock,12 min
Schezwan Egg Noodles,Noodles,160,1 plate,Spicy schezwan noodles with egg,https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400,no,no,in stock,12 min
Schezwan Chicken Noodles,Noodles,180,1 plate,Spicy schezwan noodles with chicken,https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400,no,yes,in stock,15 min
Manchurian Veg Noodles,Noodles,140,1 plate,Veg noodles in manchurian gravy,https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400,yes,no,in stock,15 min
Manchurian Egg Noodles,Noodles,160,1 plate,Egg noodles in manchurian gravy,https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400,no,no,in stock,15 min
Manchurian Chicken Noodles,Noodles,180,1 plate,Chicken noodles in manchurian gravy,https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400,no,no,in stock,15 min
Singapuri Veg Noodles,Noodles,150,1 plate,Singapore-style sweet-spicy veg noodles,https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400,yes,no,in stock,15 min
Singapuri Egg Noodles,Noodles,180,1 plate,Singapore-style noodles with egg,https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400,no,no,in stock,15 min
Singapuri Chicken Noodles,Noodles,200,1 plate,Singapore-style noodles with chicken,https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400,no,no,in stock,15 min
Haka Veg Fried Rice,Fried Rice,120,1 plate,Hakka-style veg fried rice,https://images.unsplash.com/photo-1603133872878-684f208fb84b?w=400,yes,yes,in stock,12 min
Haka Egg Fried Rice,Fried Rice,140,1 plate,Hakka fried rice with scrambled egg,https://images.unsplash.com/photo-1603133872878-684f208fb84b?w=400,no,no,in stock,12 min
Haka Chicken Fried Rice,Fried Rice,160,1 plate,Hakka fried rice with chicken,https://images.unsplash.com/photo-1603133872878-684f208fb84b?w=400,no,yes,in stock,15 min
Chilli Garlic Veg Fried Rice,Fried Rice,130,1 plate,Spicy garlic veg fried rice,https://images.unsplash.com/photo-1603133872878-684f208fb84b?w=400,yes,no,in stock,12 min
Chilli Garlic Egg Fried Rice,Fried Rice,150,1 plate,Spicy garlic egg fried rice,https://images.unsplash.com/photo-1603133872878-684f208fb84b?w=400,no,no,in stock,12 min
Chilli Garlic Chicken Fried Rice,Fried Rice,170,1 plate,Spicy garlic chicken fried rice,https://images.unsplash.com/photo-1603133872878-684f208fb84b?w=400,no,no,in stock,15 min
Schezwan Veg Fried Rice,Fried Rice,140,1 plate,Spicy schezwan veg fried rice,https://images.unsplash.com/photo-1603133872878-684f208fb84b?w=400,yes,yes,in stock,12 min
Schezwan Egg Fried Rice,Fried Rice,160,1 plate,Spicy schezwan egg fried rice,https://images.unsplash.com/photo-1603133872878-684f208fb84b?w=400,no,no,in stock,12 min
Schezwan Chicken Fried Rice,Fried Rice,180,1 plate,Spicy schezwan chicken fried rice,https://images.unsplash.com/photo-1603133872878-684f208fb84b?w=400,no,yes,in stock,15 min
Manchurian Veg Fried Rice,Fried Rice,140,1 plate,Veg fried rice with manchurian gravy,https://images.unsplash.com/photo-1603133872878-684f208fb84b?w=400,yes,no,in stock,15 min
Manchurian Egg Fried Rice,Fried Rice,160,1 plate,Egg fried rice with manchurian gravy,https://images.unsplash.com/photo-1603133872878-684f208fb84b?w=400,no,no,in stock,15 min
Manchurian Chicken Fried Rice,Fried Rice,180,1 plate,Chicken fried rice with manchurian gravy,https://images.unsplash.com/photo-1603133872878-684f208fb84b?w=400,no,no,in stock,15 min
Singapuri Veg Fried Rice,Fried Rice,150,1 plate,Singapore-style sweet-spicy veg fried rice,https://images.unsplash.com/photo-1603133872878-684f208fb84b?w=400,yes,no,in stock,15 min
Singapuri Egg Fried Rice,Fried Rice,180,1 plate,Singapore-style egg fried rice,https://images.unsplash.com/photo-1603133872878-684f208fb84b?w=400,no,no,in stock,15 min
Singapuri Chicken Fried Rice,Fried Rice,200,1 plate,Singapore-style chicken fried rice,https://images.unsplash.com/photo-1603133872878-684f208fb84b?w=400,no,no,in stock,15 min
Noodle or Rice + Chilli Paneer,Chinese Combos,110,1 plate,Mini noodle/fried rice + chilli paneer combo,https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400,yes,yes,in stock,15 min
Noodle or Rice + Veg Manchurian,Chinese Combos,110,1 plate,Mini noodle/fried rice + veg manchurian combo,https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400,yes,no,in stock,15 min
Noodle or Rice + Chilli Chicken,Chinese Combos,130,1 plate,Mini noodle/fried rice + chilli chicken combo,https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400,no,yes,in stock,18 min
Noodle or Rice + Chicken Manchurian,Chinese Combos,130,1 plate,Mini noodle/fried rice + chicken manchurian combo,https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400,no,no,in stock,18 min
Veg Grill Sandwich,Sandwich,60,2 slice,Grilled veg sandwich,https://images.unsplash.com/photo-1528735602780-2552fd46c7af?w=400,yes,no,in stock,8 min
Veg Grill Sandwich Big,Sandwich,80,4 slice,Big grilled veg sandwich,https://images.unsplash.com/photo-1528735602780-2552fd46c7af?w=400,yes,no,in stock,10 min
Chilli Paneer Sandwich,Sandwich,60,2 slice,Spicy chilli paneer sandwich,https://images.unsplash.com/photo-1528735602780-2552fd46c7af?w=400,yes,yes,in stock,8 min
Chilli Paneer Sandwich Big,Sandwich,90,4 slice,Big chilli paneer sandwich,https://images.unsplash.com/photo-1528735602780-2552fd46c7af?w=400,yes,no,in stock,10 min
Paneer Tikka Sandwich,Sandwich,60,2 slice,Tandoori-style paneer tikka sandwich,https://images.unsplash.com/photo-1528735602780-2552fd46c7af?w=400,yes,no,in stock,8 min
Paneer Tikka Sandwich Big,Sandwich,90,4 slice,Big paneer tikka sandwich,https://images.unsplash.com/photo-1528735602780-2552fd46c7af?w=400,yes,yes,in stock,10 min
Corn & Cheese Sandwich,Sandwich,70,2 slice,Sweet corn and cheese sandwich,https://images.unsplash.com/photo-1528735602780-2552fd46c7af?w=400,yes,no,in stock,8 min
Corn & Cheese Sandwich Big,Sandwich,100,4 slice,Big corn and cheese sandwich,https://images.unsplash.com/photo-1528735602780-2552fd46c7af?w=400,yes,no,in stock,10 min
Tandoori Chicken Sandwich,Sandwich,130,4 slice,Tandoori chicken loaded sandwich,https://images.unsplash.com/photo-1528735602780-2552fd46c7af?w=400,no,yes,in stock,12 min
Chicken Tikka Sandwich,Sandwich,130,4 slice,Chicken tikka loaded sandwich,https://images.unsplash.com/photo-1528735602780-2552fd46c7af?w=400,no,yes,in stock,12 min
Tandoori Egg Sandwich,Sandwich,100,4 slice,Tandoori-style egg sandwich,https://images.unsplash.com/photo-1528735602780-2552fd46c7af?w=400,no,no,in stock,10 min
Plain Maggie,Maggie,50,1 bowl,Classic plain Maggie noodles,https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400,yes,yes,in stock,8 min
Masala Maggie,Maggie,60,1 bowl,Masala Maggie with veggies,https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400,yes,yes,in stock,8 min
Chilli Paneer Maggie,Maggie,70,1 bowl,Maggie topped with chilli paneer,https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400,yes,no,in stock,10 min
Tandoori Maggie,Maggie,80,1 bowl,Tandoori-style spiced Maggie,https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400,yes,no,in stock,10 min
Corn & Cheese Maggie,Maggie,80,1 bowl,Maggie with sweet corn and melted cheese,https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400,yes,yes,in stock,10 min
Egg Masala Maggie,Maggie,80,1 bowl,Masala Maggie with scrambled egg,https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400,no,no,in stock,10 min
Chicken Maggie,Maggie,100,1 bowl,Maggie topped with chicken,https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400,no,no,in stock,10 min
Aloo Pyaz Paratha,Breads,50,1 piece,Stuffed potato-onion paratha with curd,https://images.unsplash.com/photo-1601050690597-df0568f70950?w=400,yes,yes,in stock,10 min
Mix Paratha,Breads,60,1 piece,Mixed-veg stuffed paratha with curd,https://images.unsplash.com/photo-1601050690597-df0568f70950?w=400,yes,no,in stock,10 min
Paneer Paratha,Breads,70,1 piece,Stuffed paneer paratha with curd,https://images.unsplash.com/photo-1601050690597-df0568f70950?w=400,yes,yes,in stock,10 min
Plain Paratha,Breads,40,1 piece,Buttered plain paratha,https://images.unsplash.com/photo-1601050690597-df0568f70950?w=400,yes,no,in stock,8 min
Egg Paratha,Breads,70,1 piece,Egg-stuffed paratha,https://images.unsplash.com/photo-1601050690597-df0568f70950?w=400,no,no,in stock,10 min
Mirchi Paratha,Breads,45,1 piece,Spicy chilli paratha,https://images.unsplash.com/photo-1601050690597-df0568f70950?w=400,yes,no,in stock,8 min
Roti,Breads,10,1 piece,Tandoor or tawa roti,https://images.unsplash.com/photo-1601050690597-df0568f70950?w=400,yes,no,in stock,3 min
Plain Omlette,Omlette,50,1 piece,Two-egg plain omlette,https://images.unsplash.com/photo-1565299585323-38d6b0865b47?w=400,no,no,in stock,6 min
Masala Omlette,Omlette,60,1 piece,Two-egg masala omlette with onion and chilli,https://images.unsplash.com/photo-1565299585323-38d6b0865b47?w=400,no,yes,in stock,6 min
Anda Bhurji,Omlette,70,1 plate,Spicy scrambled egg bhurji with pav,https://images.unsplash.com/photo-1565299585323-38d6b0865b47?w=400,no,yes,in stock,8 min
Corn & Cheese Omlette,Omlette,80,1 piece,Omlette with corn and melted cheese,https://images.unsplash.com/photo-1565299585323-38d6b0865b47?w=400,no,no,in stock,8 min
White Sauce Veg Pasta,Pasta,130,1 plate,Creamy white-sauce veg pasta,https://images.unsplash.com/photo-1551183053-bf91a1d81141?w=400,yes,yes,in stock,12 min
White Sauce Chicken Pasta,Pasta,150,1 plate,Creamy white-sauce chicken pasta,https://images.unsplash.com/photo-1551183053-bf91a1d81141?w=400,no,no,in stock,15 min
Red Sauce Veg Pasta,Pasta,150,1 plate,Tangy red-sauce veg pasta,https://images.unsplash.com/photo-1551183053-bf91a1d81141?w=400,yes,no,in stock,12 min
Red Sauce Chicken Pasta,Pasta,170,1 plate,Tangy red-sauce chicken pasta,https://images.unsplash.com/photo-1551183053-bf91a1d81141?w=400,no,yes,in stock,15 min
Mix Sauce Veg Pasta,Pasta,150,1 plate,Mix-sauce veg pasta — best of both,https://images.unsplash.com/photo-1551183053-bf91a1d81141?w=400,yes,no,in stock,12 min
Mix Sauce Chicken Pasta,Pasta,170,1 plate,Mix-sauce chicken pasta,https://images.unsplash.com/photo-1551183053-bf91a1d81141?w=400,no,no,in stock,15 min
Masala Soda,Mocktails,60,1 glass,Tangy masala lemon soda,https://images.unsplash.com/photo-1553787499-6f9133860278?w=400,yes,no,in stock,3 min
Aam Panna,Mocktails,60,1 glass,Raw mango summer cooler,https://images.unsplash.com/photo-1553787499-6f9133860278?w=400,yes,no,in stock,3 min
Mojito,Mocktails,70,1 glass,Mint lime mojito,https://images.unsplash.com/photo-1553787499-6f9133860278?w=400,yes,yes,in stock,3 min
Cold Coffee,Shakes,60,1 glass,Chilled coffee shake,https://images.unsplash.com/photo-1572490122747-3968b75cc699?w=400,yes,yes,in stock,5 min
Banana Shake,Shakes,70,1 glass,Fresh banana shake,https://images.unsplash.com/photo-1572490122747-3968b75cc699?w=400,yes,no,in stock,5 min
Butterscotch Shake,Shakes,70,1 glass,Butterscotch ice-cream shake,https://images.unsplash.com/photo-1572490122747-3968b75cc699?w=400,yes,no,in stock,5 min
Pineapple Shake,Shakes,70,1 glass,Fresh pineapple shake,https://images.unsplash.com/photo-1572490122747-3968b75cc699?w=400,yes,no,in stock,5 min
Strawberry Shake,Shakes,70,1 glass,Strawberry ice-cream shake,https://images.unsplash.com/photo-1572490122747-3968b75cc699?w=400,yes,no,in stock,5 min
Oreo Shake,Shakes,80,1 glass,Oreo cookie thick shake,https://images.unsplash.com/photo-1572490122747-3968b75cc699?w=400,yes,yes,in stock,5 min
Kit-Kat Shake,Shakes,80,1 glass,Kit-Kat thick shake,https://images.unsplash.com/photo-1572490122747-3968b75cc699?w=400,yes,no,in stock,5 min
Mango Shake,Shakes,80,1 glass,Fresh mango shake,https://images.unsplash.com/photo-1572490122747-3968b75cc699?w=400,yes,yes,in stock,5 min
Kiwi Shake,Shakes,80,1 glass,Fresh kiwi shake,https://images.unsplash.com/photo-1572490122747-3968b75cc699?w=400,yes,no,in stock,5 min
Tea,Hot Beverages,10,1 cup,Classic Indian milk tea,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=400,yes,yes,in stock,4 min
Lemon Tea,Hot Beverages,50,1 cup,Black tea with fresh lemon,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=400,yes,no,in stock,4 min
Masala Tea,Hot Beverages,30,1 cup,Spiced masala chai,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=400,yes,yes,in stock,4 min
Hot Coffee,Hot Beverages,50,1 cup,Strong hot coffee,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=400,yes,no,in stock,4 min
Cappuccino,Hot Beverages,60,1 cup,Frothy cappuccino,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=400,yes,yes,in stock,5 min
